Region,HEI (Higher Education Institution),Degree Type,Program Name,Program Major,COPC Details
10 - Northern Mindanao,Northern Bukidnon State College,Bachelor,Bachelor of Secondary Education,English,003 s. 2020
10 - Northern Mindanao,Northern Bukidnon State College,Bachelor,Bachelor of Secondary Education,Mathematics,003 s. 2020
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Arts in English Language Studies,,029 s. 2021
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Arts in Literature,,003 s. 2022
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Arts in Political Science,,004 s. 2022
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Elementary Education,,010 s. 2017
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Engineering Technology,Electrical Engineering Technology,004 s. 2018
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Engineering Technology,Electronics Engineering Technology,004 s. 2018
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Engineering Technology,Mechanical Engineering Technology,004 s. 2018
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Engineering Technology,Construction Engineering Technology,004 s. 2018
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Agriculture,Crop Science,048 s. 2022
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Agriculture,Animal Science,048 s. 2022
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Animation and Multimedia Arts,,005 s. 2022
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Biology,,031 s. 2022
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Development Communication,,001 s. 2024
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Environmental Science,,003 s. 2019
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Hospitality Management,,009 s. 2020
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Industrial Technology,Automotive Technology,002 s. 2019
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Industrial Technology,Civil Technology,002 s. 2019
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Industrial Technology,Electrical Technology,002 s. 2019
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Industrial Technology,Food Technology,002 s. 2019
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Industrial Technology,Electronics Technology,002 s. 2019
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Industrial Technology,Computer Technology,002 s. 2019
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Information Systems,,010 s. 2020
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Information Technology,,011 s. 2020
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Mathematics,,030 s. 2022
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Science in Tourism Management,,025 s. 2022
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Secondary Education,Mathematics,008 s. 2017
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Secondary Education,Science,009 s. 2017
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Doctorate,Doctor in Information Technology,,024 s. 2025
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Master,Master of Science in Information Technology,,312 s. 2022
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,Bachelor,Bachelor of Physical Education,,013 s. 2025
10 - Northern Mindanao,University of Science and Technology in Southern Philippines-Alubijid,Bachelor,Bachelor of Science in Computer Science,,004 s. 2024
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor in Technical-Vocational Teacher Education,,115 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Applied Mathematics,,052 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Applied Physics,,009 s. 2023
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Architecture,,106 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Chemistry,,060 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Civil Engineering,,049 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Computer Engineering,,050 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Data Science,,018 s. 2021
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Electrical Engineering,,041 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Electronics Engineering,,042 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Environmental Science,,010 s. 2023
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Environmental Science,Environmental and Management Technology,010 s. 2023
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Environmental Science,Natural Resource Management,010 s. 2023
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Food Technology,,024 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Geodetic Engineering,,296 s. 2022
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Information Technology,,046 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Mechanical Engineering,,048 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Science in Technology Communication Management,,002 s. 2018
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Secondary Education,Science,109 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Secondary Education,Mathematics,109 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Technology and Livelihood Education,Home Economics,001 s. 2018
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Bachelor,Bachelor of Technology and Livelihood Education,Industrial Arts,001 s. 2018
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Doctorate,Doctor of Philosophy in Educational Planning and Administration,,053 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Doctorate,Doctor of Philosophy in Applied Mathematics,,051 s. 2024
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Doctorate,Doctor of Philosophy in Energy Engineering,,61 s. 2022
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Doctorate,Doctor of Philosophy in Mathematics Education,,55 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Doctorate,Doctor of Technology Education,,54 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master in Educational Planning and Administration,,058 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master in Industrial Technology and Operations,,069 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master in Information Technology,,138 s. 2024
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master in Public Sector Innovations,,086 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master in Technical and Technology Education,,59 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master in Technician Teacher Education,,116 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master of Arts in Teaching English as a Second Language,,102 s. 2024
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master of Arts in Teaching Special Education,,103 s. 2024
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master of Engineering,Civil Engineering,070 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master of Engineering,Electrical Engineering,071 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master of Engineering,Mechanical Engineering,073 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master of Science in Applied Mathematical Sciences,,56 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master of Science in Electrical Engineering,,141 s. 2020
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master of Science in Mathematics Education,,57 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master of Science in Science Education,Chemistry,112 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master of Science in Science Education,,108 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Professional Science Masters in Power Systems Engineering,,074 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Doctorate,Doctor of Philosophy in Sociology,,CEB Resolution No. 392-2023
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,Master,Master of Engineering,Electronics Engineering,072 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Agricultural Technology,Agricultural Technology,062 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor in Food Processing and Technology,Food Processing and Technology,066 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Science in Agricultural and Biosystems Engineering,Agricultural and Biosystems Engineering,297 s. 2022
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Science in Agriculture,Crop Science,067 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Science in Agriculture,Animal Science,067 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Science in Agriculture,Dairy Science,067 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Science in Agriculture,Agricultural Education,067 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Science in Agriculture,Entrepreneurship,067 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Science in Agroforestry,Agroforestry,064 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Science in Environmental Engineering,Environmental Engineering,063 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Science in Hospitality Management,,018 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Science in Information Technology,Information Technology,005 s. 2024
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Science in Social Work,Social Work,036 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Technology and Livelihood Education,Agri-Fishery Arts,003 s. 2024
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,Bachelor,Bachelor of Technology in Horticulture Management,Horticulture Management,065 s. 2016
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Jasaan,Bachelor,Bachelor of Science in Naval Architecture and Marine Engineering,,195 s. 2023
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Oroquieta,Bachelor,Bachelor of Technology and Livelihood Education,Industrial Arts,007 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Oroquieta,Bachelor,Bachelor of Technology and Livelihood Education,Home Economics,008 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Oroquieta,Bachelor,Bachelor of Technology and Livelihood Education,Information and Communication Technology,009 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Panaon,Bachelor,Bachelor of Science in Marine Biology,,003 s. 2018
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Panaon,Bachelor,Bachelor of Technology and Livelihood Education,Home Economics,005 s. 2025
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Panaon,Bachelor,Bachelor of Technology and Livelihood Education,Industrial Arts,006 s. 2025
